,TRADE_DATE_BEGIN,GEN_DAILY,CODIGO_SIC,PORCENTAJE
319,2023-01-04,2585.9999999999995,ERRG,0.0107367637002724
320,2023-01-05,835.2000000000002,ERRG,0.0034676508284870503
321,2023-01-06,678.8,ERRG,0.0028182966743019746
322,2023-01-07,627.9999999999999,ERRG,0.002607381130615262
323,2023-01-08,3835.6000000000004,ERRG,0.01592495392450303
324,2023-01-09,1745.72,ERRG,0.007248021317416681
325,2023-01-10,1745.72,ERRG,0.007248021317416681
326,2023-01-11,1652.0,ERRG,0.006858907050599384
327,2023-01-12,792.8399999999999,ERRG,0.003291777158593956
328,2023-01-13,1994.04,ERRG,0.008279016353012831
329,2023-01-14,2288.7200000000003,ERRG,0.009502492581627012
330,2023-01-15,4410.88,ERRG,0.018313447900331604
331,2023-01-16,3350.4000000000005,ERRG,0.013910461369448051
332,2023-01-17,1639.6,ERRG,0.0068074237289120765
333,2023-01-18,2803.0000000000005,ERRG,0.01163772182980029
334,2023-01-19,2847.16,ERRG,0.011821068885099602
335,2023-01-20,3775.7599999999998,ERRG,0.015676505378553952
336,2023-01-21,3119.4800000000005,ERRG,0.012951709059445381
337,2023-01-22,1203.2,ERRG,0.004995542955981343
338,2023-01-23,2598.0000000000005,ERRG,0.010786586269647217
339,2023-01-24,2762.0,ERRG,0.011467494717769674
340,2023-01-25,3492.3999999999996,ERRG,0.014500028440383346
341,2023-01-26,2788.4000000000005,ERRG,0.011577104370394265
342,2023-01-27,2672.6400000000003,ERRG,0.011096482651158559
343,2023-01-28,5193.6,ERRG,0.02156320802541947
344,2023-01-29,2993.5600000000004,ERRG,0.012428904231472334
345,2023-01-30,4240.799999999999,ERRG,0.01760729601705924
346,2023-01-31,4446.92,ERRG,0.018463081683687297
347,2023-02-01,3967.2000000000003,ERRG,0.016471341435313487
348,2023-02-02,3263.24,ERRG,0.01354858344055565
349,2023-02-03,3409.52,ERRG,0.014155920561234632
350,2023-02-04,1884.84,ERRG,0.007825630971702023
351,2023-02-05,7452.4,ERRG,0.030941476334071943
352,2023-02-06,1938.0,ERRG,0.008046344954032449
353,2023-02-07,3373.2,ERRG,0.014005124251260194
354,2023-02-08,2860.4,ERRG,0.011876039786643148
